"word","frequency"
"often",2
"overlooked",1
"quite",1
"complex",1
"person",1
"even",1
"though",1
"just",4
"mere",1
"contrast",1
"administrators",1
"do",3
"represents",1
"administrative",1
"workers",1
"low",1
"level",2
"weak",1
"knowledge",1
"withholds",1
"unless",1
"powerful",1
"bring",1
"themes",1
"topics",1
"issues",1
"divorce",1
"break",1
"been",5
"three",3
"many",6
"complicated",1
"interlaced",1
"ridiculous",1
"failed",1
"mixture",1
"creates",1
"absurd",1
"problems",1
"assumption",1
"academy",1
"touch",1
"actually",1
"surrounding",1
"culture",2
"instead",1
"cut",1
"lifeline",1
"necessary",1
"symbol",2
"town",1
"protagonist",1
"lead",2
"irrelevant",1
"tour",4
"social",2
"individual",1
"heroic",1
"leaving",1
"revolutionary",1
"equipment",1
"builds",1
"leads",2
"solution",1
"lack",1
"livelihoods",1
"control",1
"near",2
"downfall",1
"begins",1
"downsizing",1
"sizes",1
"finishes",1
"discussing",1
"forth",1
"action",1
"professors",1
"choosing",1
"sides",1
"utters",1
"racial",1
"slur",1
"away",1
"table",1
"insults",1
"uncertain",1
"whether",1
"heard",1
"downward",1
"spiral",1
"withdrawal",1
"anything",2
"may",2
"create",1
"tension",1
"escapes",1
"torn",1
"exemplifies",1
"embracing",1
"idea",1
"bigger",1
"better",1
"few",1
"people",1
"directly",1
"know",2
"public",1
"explains",1
"satirical",1
"knew",1
"felt",3
"came",2
"reception",1
"turned",2
"critics",1
"readers",1
"different",2
"responses",1
"extremely",1
"others",2
"less",1
"spoke",1
"depth",1
"or",4
"noted",1
"outcome",1
"speaks",1
"made",3
"feel",1
"irritable",1
"endeavor",1
"thought",2
"passions",1
"displayed",1
"none",1
"mentioned",2
"happy",2
"read",1
"intended",1
"tricky",1
"exactly",1
"lists",1
"events",2
"happened",1
"professional",1
"golfer",1
"currently",1
"plays",3
"born",1
"distinguished",1
"amateur",1
"medalist",1
"honours",1
"previously",1
"played",8
"developmental",1
"alternated",1
"varied",1
"won",5
"finishing",1
"fourth",1
"earned",2
"card",1
"debut",1
"season",3
"returned",2
"second",7
"finished",1
"list",1
"greater",1
"maiden",1
"title",1
"single",1
"stroke",1
"despite",1
"shooting",1
"final",3
"round",2
"highest",1
"shot",1
"winner",1
"victory",2
"win",2
"qualified",2
"posted",1
"score",1
"finish",1
"shots",1
"ahead",1
"claim",1
"became",3
"tournament",1
"eight",1
"good",1
"enough",1
"earn",1
"pick",1
"career",1
"world",1
"ranking",1
"long",3
"battle",1
"depression",2
"spokesman",1
"organisation",1
"promoting",1
"awareness",1
"related",1
"mental",1
"arrested",1
"extreme",1
"missed",1
"chronological",1
"prior",1
"hymn",21
"traditionally",1
"associated",2
"particularly",1
"maritime",2
"armed",3
"author",1
"inspired",2
"dangers",1
"sea",1
"described",2
"popularised",1
"late",1
"variations",1
"soon",1
"adopted",1
"branches",2
"services",4
"adapted",1
"navies",1
"variously",1
"referred",1
"sometimes",1
"tradition",1
"civilian",1
"contexts",1
"regularly",1
"invoked",1
"chaplains",1
"sung",10
"ocean",4
"original",3
"written",2
"churchman",1
"coasts",1
"age",1
"spared",1
"violent",1
"storm",2
"claimed",1
"ship",2
"travelling",1
